Requesting Org	Number	Line	Rev	Item	Description	Category	Quantity	UOM	Price	Amount	Requester	Need-By	Qty Delivered	Location	Order Number	Purchasing Org	Contract Num	Ver	[  ]	
Noman Terry Towel Mills Limited	1234	1		5025.00616065.0002.0000.0000.0000	BEARING CASE = 610P13C 	0000000000.0000000000.0000.0000	1	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	2		5025.00616066.0002.0000.0000.0000	BEARING CASE = 610P13CA 	0000000000.0000000000.0000.0000	1	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	3		5025.00616067.0002.0000.0000.0000	TERRY CAM BOX = 610P12B 	0000000000.0000000000.0000.0000	1	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	4		5025.00616068.0002.0000.0000.0000	CAM LEVER = 611141B 	0000000000.0000000000.0000.0000	2	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	5		5025.00616069.0002.0000.0000.0000	TERRY CAM 3-4D = 610G26B 	0000000000.0000000000.0000.0000	2	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	6		5025.00616064.0002.0000.0000.0000	TERRY CAM BOX = 610P11B 	0000000000.0000000000.0000.0000	1	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	7		5025.00616070.0002.0000.0000.0000	CAM BOX LEVER = 611131FG 	0000000000.0000000000.0000.0000	1	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	8		5025.00616071.0002.0000.0000.0000	CAM BOX LEVER = 611131FB 	0000000000.0000000000.0000.0000	1	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	9		5025.00616072.0002.0000.0000.0000	TERRY CAM SHAFT =  660094B 	0000000000.0000000000.0000.0000	2	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	10		5025.00616073.0002.0000.0000.0000	BEARING CASE = 659200B 	0000000000.0000000000.0000.0000	2	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	11		5025.00616074.0002.0000.0000.0000	BEARING CASE = 611132BX 	0000000000.0000000000.0000.0000	2	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	12		5025.00616075.0002.0000.0000.0000	TIMING PULLY= BL916228D 	0000000000.0000000000.0000.0000	2	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	13		5025.00616076.0002.0000.0000.0000	DRIVE PULLY= BL916075N 	0000000000.0000000000.0000.0000	2	PCS	0	0.00	Mr. Hanif Khan		0	NTTML					.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
Noman Terry Towel Mills Limited	1234	14		5030.00049763.0002.0000.0000.0000	TEMPLE BUSH P/N-YB-3	0000000000.0000000000.0000.0000	10000	PCS	0	0.00	Mr. Hanif Khan		0	NTTML	10218	Noman Terry Towel Mills Limited			.Additional Details.Weaving Mechanical.FOR TSUDAKOMA ZAX M/C NO-76317 LOT NO-11995.None.JAPAN.....,....	
